status,result_status,protocol_hash,specification_hash,run_id,model,input_family,outer_fold,pm,target_id,lag_seconds,context_windows,earliest_context_offset_seconds,threshold_hash,q_low,q_high,n_train,n_test,n_test_participants,training_time_seconds,validation_strategy,inner_group_overlap,outer_test_group_overlap,n_epochs_trained,best_epoch,participant_macro_balanced_accuracy,participant_valid_balanced_accuracy,participant_macro_f1,participant_valid_f1,participant_macro_roc_auc,participant_valid_roc_auc,participant_macro_pr_auc,participant_valid_pr_auc,participant_macro_low_recall,participant_valid_low_recall,participant_macro_high_recall,participant_valid_high_recall,participant_macro_precision,participant_valid_precision,participant_macro_accuracy,participant_valid_accuracy
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,a38c19add26542cb6902ef09f949cf73f268bc1a4a6a665255792bb4e9de7885,torch_lstm__fold_02__focus__a38c19add265,torch_lstm,sequence_features,2,focus,target_focus,-10,10,-100,74e34c54e7221dc6ee613f5b9c86caff220ef215c764f9f3f1457db68a376147,0.364693,0.460551,15705,4047,10,3.4695336000004318,group_record,0,0,3,1,0.7894133578048327,10,0.749976034924017,10,0.9163118379820296,10,0.8376043472518274,10,0.8683366983837295,10,0.7104900172259357,10,0.7638811655224639,10,0.8270361006749963,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,a392f642ec089a4717d62ea07d11e60c34770993e68bf127f69005d4f517e370,torch_lstm__fold_02__interest__a392f642ec08,torch_lstm,sequence_features,2,interest,target_interest,-10,10,-100,a6f226a94e84838366c4cf62d5dbcdfa343d2e4317631dc9cd843403760f8fb3,0.47714,0.52968,15692,3488,10,3.4230413000041153,group_record,0,0,3,1,0.6966691414000632,10,0.6739589230356231,10,0.8002977511618272,10,0.8353200273343552,10,0.7548085085317793,10,0.6385297742683471,10,0.7157487868107189,10,0.6973946915846303,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,b615246cc4db0e6b6524e815671584331f75c2d0310ba2ba85c0f36b4b629000,torch_lstm__fold_02__relaxation__b615246cc4db,torch_lstm,sequence_features,2,relaxation,target_relaxation,-10,10,-100,7656df549309178054e578a36ceed79ea658632f163e5e508467b9011bdaa756,0.256714,0.404291,15888,3700,10,3.3999445000081323,group_record,0,0,3,1,0.7748886367873353,10,0.7404889939187125,10,0.8989081659639879,10,0.8904387819185875,10,0.7203209268851537,10,0.829456346689517,10,0.7880096712086531,10,0.7616754835019461,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,c9118644a417927fddb12a347d3f4ca3eaee344706ddb014077cc74e09b70854,torch_lstm__fold_02__stress__c9118644a417,torch_lstm,sequence_features,2,stress,target_stress,-10,10,-100,f31c8981acf165f01f66cc01c4f2b2d6927c370f1a035493f12dece19b93ba49,0.396448,0.461981,15688,3241,10,3.731216800020775,group_record,0,0,4,2,0.7449358260321753,10,0.7141060342225847,10,0.8952970787725614,9,0.9054767385209384,9,0.7502750732415463,9,0.7848621813850543,10,0.7661114357062994,10,0.743809979277968,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,85a3ae1aaee635416705cff9f58dd38b249605032fc19147b2efd087243e17c5,torch_lstm__fold_03__attention__85a3ae1aaee6,torch_lstm,sequence_features,3,attention,target_attention,-10,10,-100,d9fe93c98329da3f22770036d5d5bcc1723fbbfb61707901d1eaef4a7001f95d,0.407012,0.50364,15265,3909,11,3.4372164999949746,group_record,0,0,3,1,0.5907269957179865,11,0.5510906888007896,11,0.708139673995269,11,0.7968688569868086,11,0.5184769414536669,11,0.6629770499823061,11,0.6881783317539703,11,0.6131064727828904,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,3607053514cb7e20bc0d671de7c116e614b5525f1c0b0cd2ad1fcfc3262f2d0f,torch_lstm__fold_03__engagement__3607053514cb,torch_lstm,sequence_features,3,engagement,target_engagement,-10,10,-100,a74a573473ef95d46567294f0aa220d0bd8b428d9a9120f4a96756b0c84d9f51,0.5875743333333333,0.689116,15768,4025,11,3.8208385000179987,group_record,0,0,4,2,0.7178741963748627,11,0.6901803472802517,11,0.8462660320768489,11,0.7770912082774739,11,0.7228969830613969,11,0.7128514096883284,11,0.7426397632912886,11,0.7481769943142691,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,1f889af9abcd5ddd047a6d2d908d5c66729e0e79f095afb75469947b31fe64e0,torch_lstm__fold_03__excitement__1f889af9abcd,torch_lstm,sequence_features,3,excitement,target_excitement,-10,10,-100,fa418d56645cfa9ab67032bef122ddca9f2bf2af811172bdbe6b172d6197f493,0.19379133333333332,0.35695933333333324,15900,3799,11,3.537936799984891,group_record,0,0,3,1,0.7812288641445274,11,0.7620311789105615,11,0.9138687909517743,11,0.9333313341845194,11,0.8189899358028878,11,0.743467792486167,11,0.807003564973068,11,0.7838046011179226,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,850254da888a9463ec1376324942699cd87944637086da1a28003b776694fde7,torch_lstm__fold_03__focus__850254da888a,torch_lstm,sequence_features,3,focus,target_focus,-10,10,-100,0c7365a9f52cdea7f5ff5bd02009df8f23994345c83ad7446745f49568834711,0.3654773333333333,0.46152833333333326,15827,3942,11,3.541010900022229,group_record,0,0,3,1,0.741234163580411,11,0.7313673198451088,11,0.8963550618614374,11,0.9109269987030145,11,0.7457012716159445,11,0.7367670555448772,11,0.8322947860190545,11,0.7953413134228476,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,9475492babac1ff21d88639a77c7bb9af54377d5f0bafa56e4be7899a300b0ea,torch_lstm__fold_03__interest__9475492babac,torch_lstm,sequence_features,3,interest,target_interest,-10,10,-100,3bcb6d908dca29ca782906a4f9f4eb0ea8493afdf7dc53a3c5de50526bd55ffb,0.480798,0.5285816666666666,15772,4275,11,3.4618307999917306,group_record,0,0,3,1,0.6841326450172285,11,0.6302676106367593,11,0.7580307326404189,11,0.7811675283004139,11,0.6824813412914239,11,0.685783948743033,11,0.6950154121988127,11,0.656900069112052,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,7188a130c2ea45a96cb693fe5d2818318862f3019e7d94bde9478c0c0eb8483f,torch_lstm__fold_03__relaxation__7188a130c2ea,torch_lstm,sequence_features,3,relaxation,target_relaxation,-10,10,-100,e60bf995e60c88b6af88b34c7d1f44be24f60c5b4257ba68426a2504b9aa025a,0.25428966666666664,0.395869,15984,3823,11,3.4972071000083815,group_record,0,0,3,1,0.7555675494174313,11,0.7364096690602557,11,0.8964635783225575,11,0.9072454187858597,11,0.8032796864541784,11,0.7078554123806842,11,0.77798897653223,11,0.7536895297409221,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,f26812a7f90b11f12699d8acbb9385c6090276dde12203b92b6a0b65d91cf041,torch_lstm__fold_03__stress__f26812a7f90b,torch_lstm,sequence_features,3,stress,target_stress,-10,10,-100,bcd3007f8b807817734d67f5fb79247d682169631186c1b04d4f2cedd74be7de,0.405259,0.460463,15759,4624,11,3.906164100015303,group_record,0,0,4,2,0.6977106699731629,11,0.6357626531736851,11,0.8433724166430387,11,0.834210451875305,11,0.7877035805570324,11,0.6077177593892934,11,0.7054534424869172,11,0.6601021173825338,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,dfdd27035e700735c14d026f7f4fee96de79e359c30b931f3a28398625aef025,torch_lstm__fold_04__attention__dfdd27035e70,torch_lstm,sequence_features,4,attention,target_attention,-10,10,-100,4404f50166a53629f16deb855b5dbdefb3de95149a3eec0eec91689ced0aaf96,0.410495,0.5079906666666667,15424,3721,10,3.426302999985637,group_record,0,0,3,1,0.6498873228955148,10,0.5854268884515978,10,0.8084397333807724,10,0.7625006856504859,10,0.7309023108593431,10,0.5688723349316864,10,0.6540744308721662,10,0.6280193382481363,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,a1244b760940c7393f6d66c24b7aa65f1007223ef9b985e817e23f3a44b2659e,torch_lstm__fold_04__engagement__a1244b760940,torch_lstm,sequence_features,4,engagement,target_engagement,-10,10,-100,4efdbb963e4328ea609ced0c43ea79ec54863afcf8b6dc3b54e36caff30afe16,0.5819393333333334,0.6880023333333333,15902,3534,10,3.211231299996143,group_record,0,0,3,1,0.6773682848929271,10,0.620353862322079,10,0.8562851428427176,10,0.802400915700636,10,0.6363331357650496,10,0.7184034340208048,10,0.6968067953557344,10,0.6864964633246446,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,0dff2beb998451814181a881f7f3d700097d7f01fa90a7219a5d2f7482913856,torch_lstm__fold_04__excitement__0dff2beb9984,torch_lstm,sequence_features,4,excitement,target_excitement,-10,10,-100,01a9a36af7fd4938668057f58a4af0d4815b36985a13f61e071f1297e75e14d1,0.198937,0.36487366666666665,16040,3810,10,4.163132499990752,group_record,0,0,5,3,0.8446626525685763,10,0.8506149553026852,10,0.951505435658504,10,0.9502234206662685,10,0.8921736858258882,10,0.7971516193112647,10,0.8758044471373555,10,0.8798633558469419,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,5aebbb37b8566e43b267441112b32a60f2ae38fb44a35d89411cc2fbafe5d783,torch_lstm__fold_04__focus__5aebbb37b856,torch_lstm,sequence_features,4,focus,target_focus,-10,10,-100,bcbf7453b6c3768b7f4446c03f027f80397a24d1f0f54a82146b8fe6d4a67bdf,0.365106,0.46338333333333337,15990,3603,10,3.520180200022878,group_record,0,0,3,1,0.7777939765744422,10,0.7835315477443452,10,0.9168996354520657,10,0.9105289520999819,10,0.8186219650598753,10,0.7369659880890088,10,0.823270579026337,10,0.8418148491578401,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,92169030fecf9f76a1ffd0089b1eaffa46d2e3eba34ec80b52fa88e9114f611a,torch_lstm__fold_04__interest__92169030fecf,torch_lstm,sequence_features,4,interest,target_interest,-10,10,-100,c4110c8ecd8ea7c835b8ea571bfeb6ad10ec8d02d986bd0e2c5b9a70c03e3241,0.4793536666666667,0.5286693333333333,15959,3818,10,3.5450192999851424,group_record,0,0,3,1,0.6753536368966635,10,0.622145239045192,10,0.7664230338188374,10,0.816219262006624,10,0.6760299036059612,10,0.6746773701873658,10,0.6615245716312229,10,0.6555396646523807,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,ddf5e07db425bc4f312b48ad40799aae6b3b04bdec01a701e682e5dc105e1664,torch_lstm__fold_04__relaxation__ddf5e07db425,torch_lstm,sequence_features,4,relaxation,target_relaxation,-10,10,-100,a5f608b86ee9061617d36b1743ad601431f955dde27218d8d7829829dc257d43,0.259306,0.403906,16165,3682,10,3.6169699000020046,group_record,0,0,4,2,0.7619638489179466,10,0.7596387746634006,10,0.910739734163468,10,0.8834610030428035,10,0.9146776814746713,10,0.6092500163612216,10,0.8266574061515817,10,0.7946165149126372,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,5bb6e9899d55d4de54ae74533f81de1624a083db2bbee9902e3ae2ed3f09216f,torch_lstm__fold_04__stress__5bb6e9899d55,torch_lstm,sequence_features,4,stress,target_stress,-10,10,-100,27d0b6e27ea4a69159776babe88351288b3e08a8b6a0e0a437af967ad54f9cf0,0.39695366666666665,0.46365033333333333,15944,2832,10,3.413355800003046,group_record,0,0,3,1,0.7316279776708375,10,0.636253941909583,10,0.8210912948479582,10,0.8832767725692859,10,0.8485690936082257,10,0.6146868617334493,10,0.7367294195270604,10,0.6613260225272838,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,1a3e476f137b1403e5692ca56afef80bc48ef7ce210217d64441a4c4b4437a0c,torch_lstm__fold_05__attention__1a3e476f137b,torch_lstm,sequence_features,5,attention,target_attention,-10,10,-100,2f86d0e8c455b4f21168d0123e21d085836ed48610878f7e823e2e4fab91a878,0.408289,0.5064886666666667,15382,3675,11,3.361633599997731,group_record,0,0,3,1,0.6752588573490811,11,0.5634764956572388,11,0.7508615717341948,10,0.6811136879981196,10,0.511915430620993,10,0.7942309595881686,11,0.6421594873966573,11,0.6472058073123397,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,529105c566f4fb8de3e87e9a2837bb6ca12a9cf63d848e3858f005c1829e945d,torch_lstm__fold_05__engagement__529105c566f4,torch_lstm,sequence_features,5,engagement,target_engagement,-10,10,-100,fd819c1414dbc4a71c004ee2f223fde45d23c5e1a929dfb308519bdd81be5cc8,0.5812246666666667,0.6832976666666667,15793,4056,11,3.4678172999992967,group_record,0,0,3,1,0.703411262972604,11,0.6275338712880608,11,0.8411551031730409,11,0.7600784744796787,11,0.7697232439844744,11,0.6370992819607335,11,0.7052323141916292,11,0.6573254752736037,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,8806a688f916b53fd3b3c85ee2dec6345b99cd4177e927a5d8a3ee75ecd4ebb9,torch_lstm__fold_05__excitement__8806a688f916,torch_lstm,sequence_features,5,excitement,target_excitement,-10,10,-100,e83502bfb241187a15bbe01f2a2df8a2dcfd119976c2c47635b1515b95a004a5,0.196205,0.361125,15980,3746,11,3.6744621000252664,group_record,0,0,4,2,0.8478592086591348,11,0.838901026948378,11,0.9429020180831233,11,0.9392762629335691,11,0.8433267074733387,11,0.852391709844931,11,0.8588086488408734,11,0.8633288285305888,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,3d44856c1eeceabea2f0ec64686344691ccce16d889f2af29f8c90ee75f40d9d,torch_lstm__fold_05__focus__3d44856c1eec,torch_lstm,sequence_features,5,focus,target_focus,-10,10,-100,d1251c35ecfb7ccdf7b0d7e26663f103bb7b943f31fc83ad844ddbed424760ce,0.367191,0.4675926666666666,15923,3573,11,3.503147200011881,group_record,0,0,3,1,0.7520314449755877,11,0.6834678680192284,11,0.9121468751658206,11,0.8642986555550256,11,0.5830298413933407,11,0.9210330485578346,11,0.7468010298870683,11,0.7130702319921203,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,7ce5d187e617aacf1ea0c1c0441f94f2aa90d79896fe536592fdd604957a5511,torch_lstm__fold_05__interest__7ce5d187e617,torch_lstm,sequence_features,5,interest,target_interest,-10,10,-100,df1d4a9a8a978ee0e3bcd8ba820067c8fc420fd3f5f02f8d6b88fa7e63bbaac1,0.47852433333333333,0.529754,15858,3595,11,3.762454699986847,group_record,0,0,4,2,0.6396749006944844,11,0.525151774095303,11,0.8457660199497561,10,0.8297509027719213,10,0.6716169478863229,10,0.6574253033104934,11,0.6910195972178974,11,0.5645089794927913,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,75bb6e06f8563a83e97166245c0f919956ea08f0bead9162422cec0db4a55bc2,torch_lstm__fold_05__relaxation__75bb6e06f856,torch_lstm,sequence_features,5,relaxation,target_relaxation,-10,10,-100,a638d2bb20962ed825b35f176b1a4005a8304bfc01370b1636d6ce403b817a6a,0.256914,0.3938446666666667,16049,4059,11,3.5299903999839444,group_record,0,0,3,1,0.7100292404672698,11,0.6883580099862631,11,0.8856213740159169,11,0.8836259956188551,11,0.7080656787578348,11,0.7119928021767049,11,0.8090513102593927,11,0.7659434428865279,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,888ea431a71ca402a0ceeb3070df0b3edbb64cd6408aa1a5dd61dc5c29526083,torch_lstm__fold_05__stress__888ea431a71c,torch_lstm,sequence_features,5,stress,target_stress,-10,10,-100,f830184ed4091f7c1893003e91eb518737ed15e8b5f007bf46bf30fa7cf23cdb,0.4021516666666667,0.4598493333333333,15836,4168,11,3.412746000016341,group_record,0,0,3,1,0.7114655472772659,11,0.6683835426337102,11,0.8227373763508283,11,0.856258820804909,11,0.6243032423665116,11,0.7986278521880202,11,0.7224365036965575,11,0.7389162256706355,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,a8241fc0cc9c8bba5658831602be6cfec28668426fbf203ae43f6cd23e9bee78,torch_shallow_convnet__fold_01__attention__a8241fc0cc9c,torch_shallow_convnet,raw,1,attention,target_attention,-10,1,-10,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,0.40640833333333337,0.5057536666666667,15241,4275,11,62.71315549997962,group_record,0,0,5,5,0.6654282395047102,11,0.6008190995276341,11,0.8591112283362468,11,0.8663129563762517,11,0.8370532801507985,11,0.49380319885862217,11,0.7197076987755726,11,0.625669355835192,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,a30ddeec687b668d0184cb06dd3a1fa7ac99871a68a01d2120e970500ddeef2f,torch_shallow_convnet__fold_01__engagement__a30ddeec687b,torch_shallow_convnet,raw,1,engagement,target_engagement,-10,1,-10,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,0.5800476666666666,0.6855443333333333,15934,4556,11,53.36104519999935,group_record,0,0,4,2,0.6661846865559578,11,0.6409922807669886,11,0.7103573847630118,11,0.7036212271610469,11,0.517088501981787,11,0.8152808711301287,11,0.685303933917027,11,0.693516402168446,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,c4a19bbcc6c1f832de8722a220a96741c91b7aa07e28e19471e5be99f50a006d,torch_shallow_convnet__fold_01__excitement__c4a19bbcc6c1,torch_shallow_convnet,raw,1,excitement,target_excitement,-10,1,-10,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,0.198928,0.3627136666666666,15941,4710,11,63.01237929999479,group_record,0,0,5,5,0.7135166025684753,11,0.6409474180341396,11,0.8997869581272656,11,0.8847613520945593,11,0.5237030017518732,11,0.9033302033850773,11,0.7466744906052287,11,0.7064112977568301,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,ad975bd05eafdacb110ef7634ef4a079e3a0a8bd94b3e7eee3f416ef02ac4367,torch_shallow_convnet__fold_01__focus__ad975bd05eaf,torch_shallow_convnet,raw,1,focus,target_focus,-10,1,-10,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,0.368801,0.4654386666666666,15934,4745,11,50.260626400006004,group_record,0,0,4,2,0.6641138162345288,11,0.5931158426944009,11,0.7499800887862338,11,0.7376550722738966,11,0.5858239699017481,11,0.7424036625673094,11,0.6618052034273917,11,0.6761813547604507,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,e47218b7b9bcf0bec751b766cce586a50fae85109e14a07054db56d35c6e71da,torch_shallow_convnet__fold_01__interest__e47218b7b9bc,torch_shallow_convnet,raw,1,interest,target_interest,-10,1,-10,bd39db4c19d9f742cb059d0566f550cf160821412eeb67d3cc0780042dbd7317,0.480751,0.5305233333333333,15927,4692,11,61.162132700002985,group_record,0,0,5,5,0.6340342928480142,11,0.5701630925744158,11,0.7836802100121435,11,0.7472881550502826,11,0.5588612863115119,11,0.7092072993845163,11,0.6776867095804545,11,0.5982106362752982,11
