requirement_id,requirement,category,status,evidence,implementation,experiment,report,remaining_gap,recommended_closure_form
R-MODEL,Интегрированный набор моделей,"('scientific',)",partially_closed,cogstate/model_zoo/factory.py|reports/summary/experiment_summary.md,complete,,reports/summary/experiment_summary.md,Model selection недоступен в конечном demo-сценарии.,Подключить выбор канонической модели в минимальном demo.
R-MODEL-01,Classical ML и Torch model zoo,"('scientific',)",closed,cogstate/model_zoo/factory.py|tests/test_model_factory.py|label_q5_random_forest_groupkfold|label_q5_transformer_multiseed|label_q5_shallowconvnet_raw_dedup_multiseed,complete,label_q5_random_forest_groupkfold|label_q5_transformer_multiseed|label_q5_shallowconvnet_raw_dedup_multiseed,,,Поддерживать model matrix в README и summary registry.
R-MODEL-02,Классификация label_q5 и многовыходная PM-регрессия,"('scientific',)",closed,label_q5_random_forest_groupkfold|pm_regression_random_forest_5fold|experiments/pm_regression/pm_regression_rf_groupkfold_full.yaml|tests/test_multioutput_regression_metrics.py,complete,label_q5_random_forest_groupkfold|pm_regression_random_forest_5fold,,,Обновить устаревшее ограничение README о regression track.
R-MODEL-03,AutoML,"('scientific',)",partially_closed,bench/automl/scientific/study_runner.py|experiments/automl_transformer_label_q5.yaml|reports/automl_transformer_pilot.md,complete,,reports/automl_transformer_pilot.md,"Выполнен diagnostic pilot, а не полный nested AutoML experiment.|До streaming/demo AutoML не закрывает ближайший обязательный deliverable.",Отложить full AutoML до закрытия platform deliverables.
R-EVAL,Научно корректная оценка,"('scientific',)",closed,bench/validation/cross_val.py|cogstate/model_zoo/DL/adapter.py|reports/statistical_model_comparison.md|tests/test_group_kfold.py,complete,,reports/statistical_model_comparison.md,,Поддерживать единое описание evaluation policy.
R-EVAL-01,Outer/inner leakage protection,"('scientific',)",closed,tests/test_torch_group_validation.py|tests/test_cross_source_leakage.py|reports/integration/torch_group_validation.md,complete,,reports/integration/torch_group_validation.md,,Сохранять leakage checklist для новых experiment families.
R-EVAL-02,"Метрики, артефакты и статистические сравнения","('scientific',)",closed,bench/validation/metrics.py|bench/analysis/paired_statistics.py|label_q5_transformer_multiseed|reports/statistical_model_comparison.md,complete,label_q5_transformer_multiseed,reports/statistical_model_comparison.md,,Поддерживать artifact schema в architecture docs.
R-PERS,Персонализация и перенос,"('scientific',)",partially_closed,label_q5_personalization_multiseed_20pct|pm_regression_personalization_multiseed_20pct|reports/summary/mixin_status.md,complete,label_q5_personalization_multiseed_20pct|pm_regression_personalization_multiseed_20pct,reports/summary/mixin_status.md,Accuracy 0.75 не достигнута.|Селективное online назначение калибровки не реализовано.,"Перенести validated personalization в будущий demo/streaming сценарий без новых budget sweeps.
"
R-PERS-01,Leakage-safe classification и PM personalization,"('scientific',)",closed,label_q5_personalization_multiseed_20pct|pm_regression_personalization_multiseed_20pct|tests/test_personalization_multiseed.py|tests/test_pm_regression_personalization_multiseed.py,complete,label_q5_personalization_multiseed_20pct|pm_regression_personalization_multiseed_20pct,,,Поддерживать финальные personalization reports и configs.
R-PERS-Q01,Accuracy персонализации не ниже 0.75,"('scientific',)",partially_closed,reports/integration/personalization_multiseed_20pct.md|benchmark_results/calibration_label_q5_multiseed_20pct/20260725_172240/multiseed_subject_metrics.csv|label_q5_personalization_multiseed_20pct,complete,label_q5_personalization_multiseed_20pct,reports/integration/personalization_multiseed_20pct.md,Максимальная наблюдавшаяся accuracy 0.6349206349 ниже 0.75.|Авторитетный первоисточник численного критерия не найден.,"Подтвердить происхождение и обязательность порога; не запускать неограниченные fine-tuning sweeps автоматически.
"
R-PERS-02,"Transfer, domain adaptation, meta- и contrastive learning","('scientific',)",partially_closed,mixin_transfer_learning_audit|reports/summary/mixin_status.md|reports/integration/feature_benchmarking_mixins_audit.md|fomaml_label_q5_raw_deduplicated_diagnostic_v1|dann_label_q5_old_eeg_to_gpn_confirmatory_v2_execution|reports/integration/dann_label_q5_confirmatory_v2.md,complete,mixin_transfer_learning_audit|fomaml_label_q5_raw_deduplicated_diagnostic_v1|dann_label_q5_old_eeg_to_gpn_confirmatory_v2_execution,reports/summary/mixin_status.md|reports/integration/feature_benchmarking_mixins_audit.md|reports/integration/dann_label_q5_confirmatory_v2.md,DANN is partially confirmed only in Old_EEG to gpn_data; FOMAML diagnostic is do_not_proceed; reverse DANN and a target-supervised upper bound remain untested.,Сохранить частично подтверждённый DANN и отрицательный FOMAML; новые sweeps запускать только по новой научной постановке.
R-PLAT,Воспроизводимая интегрированная платформа,"('formal',)",closed,bench/bench_runner.py|cli.py|reports/summary/experiment_summary.md|reports/integration/benchmark_core_audit.md,complete,,reports/summary/experiment_summary.md|reports/integration/benchmark_core_audit.md,,Поддерживать registries и architecture documentation.
R-PLAT-01,"Registries, CLI, manifests, resume и summaries","('formal',)",closed,bench/datasets/datasets_registry.py|bench/tasks/tasks_registry.py|cogstate/model_zoo/factory.py|reports/summary/experiment_summary.md|tests/test_experiment_summary.py,complete,,reports/summary/experiment_summary.md,,Синхронизировать README с текущими registries.
R-STREAM,Потоковый replay и измерение latency,"('service/demo',)",open,bench/bench_runner.py,missing,,,"Нет replay API, latency/throughput/memory benchmark или error contract.",Реализовать минимальный offline replay поверх canonical model artifact.
R-DEMO,Минимальный демонстрационный интерфейс,"('service/demo',)",open,tests/test_bench_runner.py,missing,,,"Нет UI или demo CLI, model selection, visualization и export flow.",Построить минимальный demo поверх streaming replay и model registry.
R-MULTI,Мультимодальность,"('scientific',)",not_required_for_article,|pm_regression_random_forest_5fold,missing,pm_regression_random_forest_5fold,,Нет модели с совместными EEG и wearable inputs.|WESAD относится к отдельной задаче и не синхронизирован с Emotiv.|Официальный multimodal deliverable не найден.,"Определить, требуется ли истинная multimodal fusion или отдельные benchmarks достаточны."
R-DOC,Документация и итоговые материалы,"('formal',)",partially_closed,README.md|reports/article_results_summary.md|reports/summary/experiment_summary.md,not_applicable,,reports/article_results_summary.md|reports/summary/experiment_summary.md,"README датирован 20 июля и не отражает последние PM/personalization/config этапы.|Нет единого architecture document и актуального runbook.|Презентация, preprint и финальный deliverable не найдены.","После streaming/demo обновить README, architecture/runbook и собрать финальный комплект отчёта и презентации.
"
