target_id,processed_column,target_family,target_type,native_or_derived,aggregation,sources,n_windows,n_subjects,n_source_records,n_logical_records,missing_rate,minimum,maximum,unique_values,status
target_attention,target_attention,continuous_pm,continuous_regression,derived window aggregate of a native device metric,mean(PM.Attention.Scaled) within 10-second window,Old_EEG|gpn_data,43175,53,117,85,0.158513292274,0.028539,0.925407,28088,canonical
activity_relaxation,PM.Relaxation.IsActive__mean,device_activity_proxy,native_activity_fraction_candidate,native device flag normalized then window-aggregated,mean(normalized PM.Relaxation.IsActive) within 10-second window,Old_EEG|gpn_data,51124,55,120,86,0.00358618539019,0,1,2,requires_semantic_validation
activity_interest,PM.Interest.IsActive__mean,device_activity_proxy,native_activity_fraction_candidate,native device flag normalized then window-aggregated,mean(normalized PM.Interest.IsActive) within 10-second window,Old_EEG|gpn_data,51124,55,120,86,0.00358618539019,0,1,2,requires_semantic_validation
activity_focus,PM.Focus.IsActive__mean,device_activity_proxy,native_activity_fraction_candidate,native device flag normalized then window-aggregated,mean(normalized PM.Focus.IsActive) within 10-second window,Old_EEG|gpn_data,51124,55,120,86,0.00358618539019,0,1,2,requires_semantic_validation
target_main,target_main,legacy_alias,continuous_regression_alias,derived legacy alias,copy target_focus; builder fallback to attention then engagement only if focus column is absent,Old_EEG|gpn_data,45384,54,119,86,0.115459577454,0.004077,0.991193,29360,legacy
label_q5,label_q5,derived_ordinal_proxy,ordinal_classification,derived legacy global benchmark label,"global pd.qcut(target_main, q=5, labels=False, duplicates='drop')",Old_EEG|gpn_data,45384,54,119,86,0.115459577454,0,4,5,legacy
activity_multilabel_group,,multi_label_group,multi_label_candidate,derived grouping of native activity indicators,joint vector of seven existing window aggregates; not materialized,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
pm_long_term_excitement_candidate,,candidate_additional_pm,continuous_candidate,"native device field, absent from processed Parquet",not selected by the current window builder,Old_EEG|gpn_data,0,0,0,0,,,,0,requires_semantic_validation
label_attention_q3_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_attention_q5_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_engagement_q3_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_engagement_q5_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_excitement_q3_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_excitement_q5_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_stress_q3_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_stress_q5_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_relaxation_q3_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_relaxation_q5_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_interest_q3_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_interest_q5_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_focus_q3_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
label_focus_q5_candidate,,derived_ordinal_proxy,ordinal_classification_candidate,derived candidate; not materialized,not materialized; proposed train-fold quantiles,Old_EEG|gpn_data,0,0,0,0,,,,0,candidate
