model,outer_fold,pm,run_id,n_train,n_test,training_seconds,train_sample_hash_exact,test_sample_hash_exact,sample_ids_exact,y_true_exact,y_pred_mismatches,probabilities_exact,max_abs_probability_diff,mean_abs_probability_diff,q99_abs_probability_diff,status
lightgbm,3,excitement,lightgbm__fold_03__excitement__low_high__a168bfbae265,16517,3925,2.3950572999892756,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,3,stress,lightgbm__fold_03__stress__low_high__ca7d6029591f,16507,4794,2.345879300031811,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,3,relaxation,lightgbm__fold_03__relaxation__low_high__3453d6872945,16534,3918,2.3902995999669656,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,3,interest,lightgbm__fold_03__interest__low_high__ad5c97337df7,16506,4428,2.3610089999856427,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,3,focus,lightgbm__fold_03__focus__low_high__ede9b32c40df,16512,4090,2.3998422999866307,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,4,attention,lightgbm__fold_04__attention__low_high__3f5bc65f9aeb,15937,3789,2.4003684000344947,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,4,engagement,lightgbm__fold_04__engagement__low_high__19dff680f739,16687,3677,2.4164736999664456,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,4,excitement,lightgbm__fold_04__excitement__low_high__612791846de0,16689,3904,2.4297493000049144,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,4,stress,lightgbm__fold_04__stress__low_high__64193c2ec453,16679,2955,2.4033805999788456,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,4,relaxation,lightgbm__fold_04__relaxation__low_high__3f39d17e39cf,16707,3771,2.420203300018329,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,4,interest,lightgbm__fold_04__interest__low_high__2366ed428d32,16683,3971,2.3631594000034966,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,4,focus,lightgbm__fold_04__focus__low_high__d9a35e8fcc1e,16688,3731,2.355869699968025,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,5,attention,lightgbm__fold_05__attention__low_high__a5ed8f4f7a86,15812,3818,2.4054423999623396,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,5,engagement,lightgbm__fold_05__engagement__low_high__98a27b11826a,16528,4267,2.3897716000210494,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,5,excitement,lightgbm__fold_05__excitement__low_high__64cc745a73de,16537,3930,2.384900800010655,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,5,stress,lightgbm__fold_05__stress__low_high__92b8a0bc2163,16523,4380,2.363903699966613,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,5,relaxation,lightgbm__fold_05__relaxation__low_high__3ed7aaeb4a95,16548,4217,1.902934500016272,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,5,interest,lightgbm__fold_05__interest__low_high__f374349ed9c8,16528,3791,1.680832400044892,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,5,focus,lightgbm__fold_05__focus__low_high__8545f630916a,16541,3778,1.727710200008005,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
